question,option_a,option_b,option_c,option_d,correct,explanation,points
"What is the capital of France?",Paris,London,Berlin,Madrid,A,"Paris has been the capital since the 10th century.",1
"Which planet is known as the Red Planet?",Venus,Mars,Jupiter,Saturn,B,"Mars appears red due to iron oxide (rust) on its surface.",1
"What year did World War II end?",1943,1944,1945,1946,C,"WWII ended in 1945 with the surrender of Japan.",1
"Who painted the Mona Lisa?",Michelangelo,Leonardo da Vinci,Raphael,Donatello,B,"Leonardo da Vinci painted it between 1503-1519.",1
"What is the chemical symbol for gold?",Go,Gd,Au,Ag,C,"Au comes from the Latin word 'aurum'.",1
"Which ocean is the largest?",Atlantic,Indian,Arctic,Pacific,D,"The Pacific covers about 63 million square miles.",1
"What is the smallest prime number?",0,1,2,3,C,"2 is the only even prime number.",1
"In what year did humans first land on the Moon?",1967,1968,1969,1970,C,"Apollo 11 landed on July 20, 1969.",1
"What is the capital of Japan?",Kyoto,Osaka,Tokyo,Hiroshima,C,"Tokyo has been the capital since 1868.",1
"Who wrote 'Romeo and Juliet'?",Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,"Shakespeare wrote it around 1594-1596.",1
