Question;Correct answer;Wrong answer 1;Wrong answer 2;Wrong answer 3
What architectural pattern stores immutable events as the source of truth?;Event sourcing;CQRS;Lambda architecture;Write-Only Living
What Australian city hosts the Melbourne Cup?;Melbourne;Sydney;Flemington;Horsetown
What metric penalises large forecast errors more heavily?;Root Mean Squared Error;Mean Absolute Error;Mean Squared Error;Big Error Panic
Who released the 2024 album Cowboy Carter?;Beyoncé;Taylor Swift;Dolly Parton;Yeehawoncé
What professional services firm is one of the Big Four?;Deloitte;Accenture;McKinsey;Big Accounty Co
What does RAG stand for in LLM systems?;Retrieval-Augmented Generation;Reinforced Auto Generation;Recurrent Attention Graph;Really Accurate Guessing
What Australian animal appears on the one dollar coin?;Kangaroo;Emu;Koala;Drop Bear
Who wrote 1984?;George Orwell;Aldous Huxley;Ray Bradbury;Big Brother
What bias leads people to over-trust automated systems?;Automation bias;Confirmation bias;Overfitting;Robot Worship
What gas primarily drives the greenhouse effect?;Carbon dioxide;Oxygen;Nitrogen;Bad Air
What document governs ethical conduct in consulting firms?;Code of conduct;Statement of work;Service catalogue;Vibe Charter
What Australian body manages monetary policy?;Reserve Bank of Australia;Treasury;ASIC;Money Wizards
What file format underpins Delta Lake storage?;Apache Parquet;CSV;JSON;Delta.xls
What band released OK Computer?;Radiohead;Coldplay;Muse;The Computers
What billing model charges by time worked?;Time and materials;Fixed price;Value based pricing;Clock Farming
What Australian writer authored Cloudstreet?;Tim Winton;Peter Carey;Patrick White;Steve Irwin
What similarity metric is most common for embeddings?;Cosine similarity;Euclidean distance;Dot product;Goodness Score
What 2024 global event dominated news coverage?;United States election cycle;FIFA World Cup;Olympics;Everyone Arguing
Who proposed the theory of natural selection?;Charles Darwin;Gregor Mendel;Isaac Newton;Monkey Guy
What deployment pattern exposes a small fraction of users first?;Canary deployment;Blue-green deployment;Rolling deployment;Sacrifice Release
What Australian state is abbreviated WA?;Western Australia;South Australia;Northern Territory;West Atlantis
What novel begins with “Call me Ishmael”?;Moby-Dick;The Old Man and the Sea;Heart of Darkness;Whale Time
What document defines scope and deliverables?;Statement of Work;Code of ethics;Timesheet;Pinky Promise
What process ensures ML models perform post-deployment?;Model monitoring;Training;Prompt tuning;Watching Nervously
What Australian holiday occurs on January 26?;Australia Day;ANZAC Day;Labour Day;BBQ Day
Who released the album Future Nostalgia?;Dua Lipa;Lady Gaga;Charli XCX;Disco Bot
What paradox hides trends in aggregates?;Simpson’s paradox;Survivorship bias;Regression to the mean;Math Gaslighting
What current trend drives global rate volatility?;Inflation;Cryptocurrency;Remote work;Vibes
What animal appears on Australia’s coat of arms?;Emu;Platypus;Dingo;Magpie Judge
What LLM failure involves fabricated citations?;Hallucination;Overfitting;Bias;Creative Confidence
What genre is Sapiens?;Popular science;Historical fiction;Philosophy;Cave Memoir
What obligation prevents sharing client data?;Confidentiality;Transparency;Portability;Pinky Lock
What city hosted the 2000 Olympics?;Sydney;Melbourne;Brisbane;Olympicland
What pattern separates read and write models?;CQRS;Event sourcing;Star schema;Ready-Writey
Who released 1989 (Taylor’s Version)?;Taylor Swift;Olivia Rodrigo;Lana Del Rey;Taylor Original
Who wrote True History of the Kelly Gang?;Peter Carey;Tim Winton;Christos Tsiolkas;Ned Kelly Himself
What occurs when model inputs change over time?;Data drift;Overfitting;Leakage;Model Aging
What science studies the nervous system?;Neuroscience;Psychology;Physiology;Brain Stuff
What pricing model ties fees to outcomes?;Value-based pricing;Time and materials;Fixed price;Good Job Bonus
What Australian state is called the Sunshine State?;Queensland;New South Wales;Western Australia;Vitamin D Land
What attack corrupts training data?;Data poisoning;Prompt injection;Model inversion;Keyboard Sabotage
What explains survival of the fittest?;Natural selection;Lamarckism;Mutation;Nature Vibes
What regulates Australian financial markets?;ASIC;APRA;ASX;Market Police
What governance control requires human approval?;Human-in-the-loop;Observability;Logging;Asking Nicely
